"","Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"1","461634","Eudynamys","scolopaceus","","Asian Koel","Stephan Risch","Thailand","<U+0E15><U+0E33><U+0E1A><U+0E25> <U+0E1A><U+0E32><U+0E07><U+0E21><U+0E48><U+0E27><U+0E07>, <U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D> <U+0E15><U+0E30><U+0E01><U+0E31><U+0E48><U+0E27><U+0E1B><U+0E48><U+0E32>, <U+0E1E><U+0E31><U+0E07><U+0E07><U+0E32>","8.8445","98.2729","call","//www.xeno-canto.org/461634/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/461634","no score","8:56","2019-02-21"
"2","461227","Eudynamys","scolopaceus","","Asian Koel","Stephan Risch","Thailand","Sa Khu, Amphoe Thalang, Chang Wat Phuket","8.083","98.2936","call","//www.xeno-canto.org/461227/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/461227","no score","07:33","2019-03-06"
"3","446446","Eudynamys","scolopaceus","","Asian Koel","Andres Angulo ","Thailand","Lumphini Park, Bangkok, Bangkok","13.7334","100.5415","song","//www.xeno-canto.org/446446/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/446446","no score","09:30","2018-10-27"
"4","467579","Eudynamys","scolopaceus","","Asian Koel","Sreekumar Chirukandoth","India","Dehradun, Dehradun, Uttarakhand","30.2816","77.9746","song","//www.xeno-canto.org/467579/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/467579","A","16:00","2019-04-13"
"5","464464","Eudynamys","scolopaceus","scolopaceus","Asian Koel","Rajgopal Patil","India","Pune, Pune, Maharashtra","18.4973","73.8044","call, female","//www.xeno-canto.org/464464/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/464464","A","06:06","2018-07-28"
"6","461162","Eudynamys","scolopaceus","","Asian Koel","DINABANDHU BARDALOI ","India","Mangaldoi, Darrang, Assam","26.4424","92.0389","male, song","//www.xeno-canto.org/461162/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/461162","A","03:00","2019-03-11"
"7","454504","Eudynamys","scolopaceus","","Asian Koel","Sajib Biswas","Bangladesh","Chandrima Udyan (near  Dhaka), Dhaka District, Dhaka Division","23.7657","90.3766","male","//www.xeno-canto.org/454504/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/454504","A","11:30","2019-01-31"
"8","453708","Eudynamys","scolopaceus","","Asian Koel","Will Sweet","Thailand","Tambon Kaeng Krachan, Amphoe Kaeng Krachan, Chang Wat Phetchaburi","12.8973","99.7246","song","//www.xeno-canto.org/453708/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/453708","A","13:00","2019-01-06"
"9","450405","Eudynamys","scolopaceus","","Asian Koel","Somkiat Pakapinyo (Chai)","Thailand","Sri Nakhon Khuean Khan Park, Tambon Bang Kachao, Amphoe Phra Pradaeng, Chang Wat Samut Prakan","13.689","100.5709","song","//www.xeno-canto.org/450405/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/450405","A","08:00","2018-11-13"
"10","446387","Eudynamys","scolopaceus","ss mindanensis","Asian Koel","brendan sloan","Philippines","Dinigat Island",NA,NA,"call","//www.xeno-canto.org/446387/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/446387","A","08:30","2018-05-27"
"11","444228","Eudynamys","scolopaceus","scolopaceus","Asian Koel","Hemanya Radadia","India","Rajkot, Rajkot, Gujarat","22.2846","70.7642","call, female","//www.xeno-canto.org/444228/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/444228","A","10:30","2018-11-25"
"12","426538","Eudynamys","scolopaceus","","Asian Koel","Peter Boesman","India","Manas National Park, Assam","26.672638","91.004331","call","//www.xeno-canto.org/426538/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/426538","A","06:15","2018-04-09"
"13","426536","Eudynamys","scolopaceus","","Asian Koel","Peter Boesman","India","Nameri Eco Camp, Assam","26.925154","92.827847","song","//www.xeno-canto.org/426536/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/426536","A","05:30","2018-04-07"
"14","423126","Eudynamys","scolopaceus","","Asian Koel","Hobart WQH","Malaysia","Sibu, Bahagian Sibu, Sarawak","2.3034","111.8253","call, male, song","//www.xeno-canto.org/423126/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/423126","A","5:56","2018-05-20"
"15","423125","Eudynamys","scolopaceus","","Asian Koel","Hobart WQH","Malaysia","Sibu, Bahagian Sibu, Sarawak","2.3034","111.8253","call, male, song","//www.xeno-canto.org/423125/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/423125","A","5:58","2018-05-20"
"16","417387","Eudynamys","scolopaceus","","Asian Koel","Tejaswini Limaye","India","Porvorim, Bardez (near  Penha de França), North Goa, Goa","15.5286","73.8357","call, song","//www.xeno-canto.org/417387/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/417387","A","06:47","2016-03-08"
"17","416848","Eudynamys","scolopaceus","","Asian Koel","Sumanta P","India","Matarangi (near  Nilganj), North 24 Parganas, West Bengal","22.7601","88.4248","song","//www.xeno-canto.org/416848/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/416848","A","15:30","2018-05-20"
"18","414018","Eudynamys","scolopaceus","malayanus","Asian Koel","Greg Irving","Thailand","Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima","14.3819","101.8782","call","//www.xeno-canto.org/414018/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/414018","A","16:55","2018-05-05"
"19","412822","Eudynamys","scolopaceus","","Asian Koel","Viral Patel & Pankaj Maheria","India","Patan, Patan, Gujarat","23.8505","72.1912","call","//www.xeno-canto.org/412822/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412822","A","17:03","2018-04-25"
"20","400194","Eudynamys","scolopaceus","","Asian Koel","Antonio Xeira","India","Praia de Calangute, North Goa, Goa","15.5352","73.7621","call","//www.xeno-canto.org/400194/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/400194","A","06:30","2017-12-16"
"21","400193","Eudynamys","scolopaceus","","Asian Koel","Antonio Xeira","India","Praia de Calangute, North Goa, Goa","15.5352","73.7621","call","//www.xeno-canto.org/400193/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/400193","A","06:30","2017-12-16"
"22","396951","Eudynamys","scolopaceus","","Asian Koel","Werzik","Thailand","Tambon Sai Ma, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi","13.8549","100.4735","call","//www.xeno-canto.org/396951/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/396951","A","18:00","2017-12-25"
